State,District,Mandi
,,Dharapuram
,,Elumathur
,,Erode
,,Gobichettipalayam
,,Kangeyam
,,Kavunthapadi
,,Kodumudi
,,Kunnathur
,,Moolanur
,,Muthur
,,Mylampadi
,,Nambiyur
,,Perundurai
,,Punchaipuliyampatti
,,Sathyamangalam
,,Sivagiri
,,Thalavadi
,,Vellakkoil
,,Vellankoil
,Kancheepuram,Acharapakkam
,,Gummidipoondy
,,Kanchipuram
,,Maduranthagam
,,Nazerethpet
,,Pallipattu
,,Ponner
,,Thirukkalukundram
,,Tiruttani
,,Uthiramerur
,,Uthukottai
,Karur,Karur
,Krishnagiri,Bargur
,,Denkanikottai
,,Hosur
,,Krishnagiri
,,Pochampalli
,,Uthangarai
,Madurai,Madurai
,,Melur
,,Thirumangalam
,,Usilampatty
,Nagapattinam,Kilvelur
,,Kuttulam
,,Mailaduthurai
,,Sembanarkoil
,,Sirkali
,,Thirupoondi
,,Vedaranyam
,kanyakumari,Eathamozhi
,,Kalliakavillai
,,Kulasekaram
,,Monday Market
,,Thoduvetty
,,Vadaseri
,Namakkal,Namagiripettai
,,Namakkal
,,Rasipuram
,,Tiruchengode
,,Velur
,Pudukkottai,Alangudi
,,Aranthangi
,Ramanathapuram,Kamuthi
,,Paramakudi
,,Rajasingamangalam
,,Ramanathapuram(phase 3)
,,Sivagangai
,Salem,Attur
,,Gangavalli
,,Karumanturai
,,Kolathur
,,Konganapuram
,,Omalur
,,Salem
,,Thalaivasal
,,Thammampati
,,Vazhapadi
,Sivaganga,Devakottai
,,Karaikudi
,,Manamadurai
,,Singampuneri
,Thanjavur,Budalur
,,Kumbakonam
,,Orathanadu
,,Papanasam
,,Pattukottai
,,Thanjavur
,,Thiruppananthal
,,Vallam
,teni,Bodinayakkanur
,,Chinnamanur
,,Cumbum
,,Theni
,tiruchirappalli,Lalgudi
,,Manachanallur
,,Manapparai
,,Thuraiyur
,,Trichy
,tirunelveli,Ambasamudram
,,Sankarankovil
,,Thenkasi
,,Tirunelvali
,tiruvannamalai,Arani
,,Chengam
,,Chethupattu
,,Cheyyar
,,Desur
,,Dusi
,,Kilpennathur
,,Pernamallur
,,Polur(Thiruvannamalai)
,,Thellar
,,Thiruvannamalai
,,Tukkapettai
,,Vanapuram
,,Vandavasi
,,Vettavalam
,tiruvarur,Mannargudi
,,Thiruvarur
,tiruvallur,Redhills
,,Tiruvellore
,thooukudi,Kovilpatti
,,Thoothukudi
,,Vilathikulam
,Vellore,Ammoor
,,Arcot
,,Arkonam
,,Gudiyatham
,,Kalavai
,,Katpadi
,,Kaveripakkam
,,Thimiri
,,Thirupathur
,,Vaniyambadi
,,Vellore
,Villupuram,Ananthapuram
,,Avalurpet
,,Chinnasalem
,,Gingee
,,Kallakurichi
,,Manalurpet
,,Marakkanam
,,Moongilthuraipattu
,,Thirukovilur
,,Thiryagadurgam
,,Tindivanam
,,Tiruvennainallur
,,Ulundurpettai
,,Valathi
,,Vikkiravandi
,,Villupuram
,Virudhunagar,Aruppukottai
,,Rajapalayam
,,Sathur
,,Virudhunagar
Telangana,Adilabad,Adilabad
,,Adilabad(Rythu Bazar)
,,Asifabad
,,Bhainsa
,,Boath
,,Chinnoar
,,Ichoda
,,Indravelly(Utnoor)
,,Jainath
,,Jainoor
,,Kagaznagar
,,Khanapur
,,Kuber
,,Laxettipet
,,Mancharial
,,Nirmal
,,Sarangapur
,Hyderabad,Bowenpally
,,Erragadda(Rythu Bazar)
,,Gaddiannaram
,,Gudimalkapur
,,L B Nagar
,,Mahboob Manison
,jagtial,Mallapur
,Karimnagar,Choppadandi
,,Dharmapuri
,,Dharmaram
,,Gangadhara
,,Gollapally
,,Gopalraopet
,,Husnabad
,,Huzzurabad
,,Ibrahimpatnam
,,Jagtial
,,Jammikunta
,,Karimnagar
,,Karimnagar(Rythu Bazar)
,,Kataram
,,Kathalapur
,,Koratla
,,Mallial(Cheppial)
,,Manakodur
,,Manthani
,,Medipally
,,Metpally
,,Peddapalli
,,Pothgal
,,Pudur
,,Sircilla
,,Sultanabad
,,Vemulawada
,Khammam,Bhadrachalam
,,Burgampadu
,,Charla
,,Dammapet
,,Enkoor
,,Kallur
,,Khammam
,,Kothagudem
,,Madhira
,,Nelakondapally
,,Sathupalli(Rythu Bazar)
,,Sattupalli
,,Wyra
,,Yellandu
,mahabubnagar,Achampet
,,Achampet(Amrabad)
,,Alampur
,,Amangal
,,Atmakur
,,Badepalli
,,Devarakadra
,,Gadwal
,,Gadwal(Lezza)
,,Kalwakurthy
,,Kollapur
,,Kosgi
,,Mahabubnagar(Rythu Bazar)
,,Mahbubnagar
,,Mahbubnagar(Nawabpet)
,,Makthal
,,Nagarkurnool
,,Nagarkurnool(Talkapalli)
,,Narayanpet
,,Shadnagar
,,Wanaparthy Road
,,Wanaparthy Road(Prbbair)
,,Wanaparthy town
,Medak,Dubbak
,,Gajwel
,,Jogipet
,,Medak
,,Narayankhed
,,Narsapur
,,Sadasivpet
,,Sadasivpet(Sangareddy)
,,Siddipet
,,Siddipet(Rythu Bazar)
,,Togguta
,,Vantamamidi
,,Zaheerabad
,Nalgonda,Aler
,,Bhongir
,,Chandur
,,Chandur(Mungodu)
,,Chityal
,,Choutuppal
,,Devarakonda
,,Devarkonda(Dindi)
,,Devarkonda(Mallepalli)
,,Halia
,,Huzurnagar
,,Kodad
,,Miryalaguda
,,Miryalguda(Rythu Bazar)
,,Mothkur
,,Nakrekal
,,Nalgonda
,,Neredcherla
,,Nidamanoor
,,Ramannapet
,,Suryapeta
,,Tirumalagiri
,,Venkateswarnagar
,,Venkateswarnagar(Chintapalli)
,,Voligonda
,,Voligonda(Ramannapet)
,Nizamabad,Armoor
,,Banswada
,,Bhiknoor
,,Bichkunda
,,Bodhan
,,Gandhari
,,Kamareddy
,,Madnoor
,,Nizamabad
,,Pitlam
,,Varni
,,Yellareddy
,rangareddy,Chevella
,,Ibrahimputnam
,,Kukatpally(Rythu Bazar)
,,Marapally
,,Medchal
,,Mehndipatnam(Rythu Bazar)
,,Narsingi
,,Pargi
,,Sardarnagar
,,Shankarapally
,,Tanduru
,,Vatpally
,,Vikarabad
,warangal_urban,Cherial
,,Dornakal
,,Ghanpur
,,Hanmarkonda(Rythu Bazar)
,,Jangaon
,,Kesamudram
,,Kodakandal
,,Mahabubabad
,,Mulugu
,,Narsampet
,,Narsampet(Nekonda)
,,Parkal
,,Thorrur
,,Warangal
,,Wardhannapet
Tripura,Dhalai,Chowmanu
,,Gandacharra
,,Halahali
,,Kulai
,,Masli
,Gomati,Garjee
,,Silachhari
,,Nutanbazar
,Khowai,Bachaibari
,,Kalyanpur
,,Teliamura
,North Tripura,Dasda
,,Kadamtala
,,Kanchanpur
,,Panisagar
,Sepahijala,Bishalgarh
,,Bishramganj
,,Boxonagar
,,Jumpuijala
,,Melaghar
,,Sonamura
,south tripura,Barpathari
,,Biokhora
,,Kalsi
,,Manubazar
,,Santir Bazar
,Unokoti,Masmara
,,Pabiacherra
,,Panichowki
,west tripura,Champaknagar
,,Kamalghat
,,Mohanpur
Uttar Pradesh,Agra,Achnera
,,Agra
,,Fatehabad
,,Fatehpur Sikri
,,Jagnair
,,Jarar
,,Khairagarh
,,Samsabad
,Aligarh,Charra
,,Aligarh
,,Atrauli
,,Khair
,Allahabad,Ajuha
,,Allahabad
,,Jasra
,,Sirsa
,Ambedkarnagar,Akbarpur
,,Tanda
,Auraiya,Achalda  
,,Auraiya
,,Dibiapur
,Azamgarh,Azamgarh
,Badaun,Babrala
,,Badayoun
,,Bilsi
,,Dataganj
,,Shahaswan
,,Ujhani
,,Visoli
,,Wazirganj
,Baghpat,Bagpat
,,Baraut
,,Khekda
,bahriach,Bahraich
,,Mihipurwa
,,Naanpara
,,Risia
,,Ruperdeeha
,Ballia,Ballia
,,Chitwadagaon
,,Rasda
,,Vilthararoad
,Balrampur,Balrampur
,,Panchpedwa
,,Tulsipur
,,Utraula
,Banda,Atarra
,,Baberu
,,Banda
,Barabanki,Barabanki
,,Rudauli
,,Safdarganj
,Bareilly,Anwala
,,Bahedi
,,Bareilly
,,Richha
,Basti,Basti
,santravidasnagar,Gopiganj
,Bijnor,Bijnaur
,,Chaandpur
,,Dhampur
,,Haldaur
,,Kiratpur
,,Nagina
,,Najibabad
,bulandsahar,Anoop Shahar
,,Buland Shahr
,,Divai
,,Gulavati
,,Jahangirabad
,,Khurja
,,Sikanderabad
,,Sikarpur
,,Siyana
,Chandauli,Chandoli
,chitrakoot,Karvi
,,Mau(Chitrakut)
,Deoria,Barhaj
,,Devariya
,Etah,Aliganj
,,Awagarh
,,Etah
,,Ganjdudwara
,,Kasganj
,etwah,Bharthna
,,Etawah
,,Jasvantnagar
,Faizabad,Faizabad
,farrukhabad,Farukhabad
,,Kamlagan
,,Kayamganj
,,Mohamadabad
,Fatehpur,Bindki
,,Fatehpur
,,Jahanabad
,,Khaga
,,Kishunpur
,Firozabad,Firozabad
,,Shikohabad
,,Sirsaganj
,,Tundla
,gautam budhha nagar,Dadri
,,Dankaur
,,Javer
,Ghaziabad,Ghaziabad
,,Hapur
,,Muradnagar
,,Noida
,gazipur,Gazipur
,,Jamanian
,,Jangipura
,,Saidpur
,,Yusufpur
,Gonda,Gonda
,,Karnailganj
,,Nawabganj
,goakhpur,Chorichora
,,Gorakhpur
,,Sehjanwa
,Hamirpur,Bharuasumerpur
,,Hamirpur
,,Kurara
,,Maudaha
,,Muskara
,,Raath
,Hardoi,Hardoi
,,Madhoganj
,,Sandi
,,Sandila
,,Shahabad(New Mandi)
,Hathras,Haathras
,,Shadabad
,,Sikandraraau
,jalaun,Ait
,,Jalaun
,,Kadaura
,,Kalpi
,,Konch
,,Madhogarh
,,Orai
,Jaunpur,Jaunpur
,,Mugrabaadshahpur
,,Shahganj
,Jhansi,Baruwasagar
,,Chirgaon
,,Gurusarai
,,Jhansi
,,Mauranipur
,,Moth
,Jyotiba Phule Nagar,Amroha
,,Dhanura
,,Hasanpur
,kannauj,Chhibramau(Kannuj)
,,Kannauj
,Kanpur,Pukhrayan
,,Choubepur
,,Jhijhank
,,Kanpur(Grain)
,,Uttaripura
,,Varipaal
,,Rura
,Kaushambi,Bharwari
,kheri,Maigalganj
,,Mohammdi
,,Tikonia
,Lakhimpur,Golagokarnath
,,Lakhimpur
,,Paliakala
,Lalitpur,Lalitpur
,,Mehrauni
,Lucknow,Banthara
,,Lucknow
,Maharajganj,Anandnagar
,,Gadaura
,,Maharajganj
,,Nautnava
,,Partaval
,Mahoba,Charkhari
,,Panwadi
,,Mahoba
,Mainpuri,Bewar
,,Ghiraur
,,Mainpuri
,Mathura,Kosikalan
,,Mathura
,mau,Doharighat
,,Kopaganj
,,Mau
,Meerut,Mawana
,,Meerut
,,Parikshitgarh
,,Sardhana
,Mirzapur,Ahirora
,,Mirzapur
,moradabad,Bhehjoi
,,Chandausi
,,Muradabad
,,Sambhal
,muzafarnagar,Kadhle
,,Kairana
,,Khatauli
,,Muzzafarnagar
,,Shahpur
,,Shamli
,,Thanabhawan
,kushinagar,Tamkuhi Road
,pilibhit,Billsadda
,,Pilibhit
,,Puranpur
,,Vishalpur
,Pratapgarh,Pratapgarh
,raibebeareli,Bachranwa
,,Jayas
,,Lalganj
,,Raibareilly
,,Salon
,Rampur,Milak
,,Rampur
,,Shahabad
,,Tanda(Rampur)
,,Vilaspur
,Saharanpur,Chutmalpur
,,Devband
,,Gangoh
,,Nakud
,,Nanuta
,,Rampurmaniharan
,,Saharanpur
,,Sultanpurchilkana
,santkabirnagar,Khalilabad
,Shahjahanpur,Badda
,,Jalalabad
,,Katra
,,Puwaha
,,Shahjahanpur
,,Tilhar
,Shravasti,Payagpur
,siddharthnagar,Naugarh
,,Sahiyapur
,,Soharatgarh
,,Wansi
,Sitapur,Hargaon (Laharpur)
,,Maholi
,,Mehmoodabad
,,Misrikh
,,Sindholi
,,Sitapur
,,Viswan
,Sonbhadra,Dudhi
,,Robertsganj
,Sultanpur,Jafarganj
,,Sultanpur
,Unnao,Bangarmau
,,Purwa
,,Unnao
,Varanasi,Varanasi(F&V)
,,Varanasi(Grain)
Uttrakhand,Champawat,Lohaghat(Naveen Mandi Sthal)
,,Tanakpur
,dehradun,Chakrata
,,Dehradoon
,,Rishikesh
,,Vikasnagar
,pauri garhwal,Kotadwara
,Haridwar,Bhagwanpur(Naveen Mandi Sthal)
,,Haridwar Union
,,Lakshar
,,Manglaur
,,Roorkee
,Nanital,Bhowali(Naveen Mandi Sthal)
,,Haldwani
,,Kaladhungi(Naveen Mandi Sthal)
,,Ramnagar
,udham singh nagar,Bazpur
,,Gadarpur
,,Jaspur(UC)
,,Kashipur
,,Khateema
,,Kicchha
,,Nanakmatta
,,Rudrapur
,,Sitarganj
West Bengal,Bankura,Bankura Sadar
,,Bishnupur(Bankura)
,,Indus(Bankura Sadar)
,,Khatra
,Birbhum,Birbhum
,,Bolpur
,,Rampurhat
,,Sainthia
,Burdwan,Asansol
,,Burdwan
,,Durgapur
,,Guskara(Burdwan)
,,Kalna
,,Katwa
,,Memari
,cooch bihar,Baxirhat
,,Coochbehar
,,Dinhata
,,Haldibari
,,Mathabhanga
,,Mekhliganj
,,Pundibari
,,Toofanganj
,south dinjapur,Balurghat
,,Gangarampur(Dakshin Dinajpur)
,darjjeeling,Darjeeling
,,Kalimpong
,,Karsiyang(Matigara)
,,Siliguri
,hugli,Champadanga
,,Kalipur
,,Pandua
,,Sheoraphuly
,hawra,Ramkrishanpur(Howrah)
,,Uluberia
,Jalpaiguri,Alipurduar
,,Belacoba
,,Dhupguri
,,Falakata
,,Jalpaiguri Sadar
,,Moynaguri
,Kolkata,Bara Bazar (Posta Bazar)
,,Mechua
,,Sealdah Koley Market
,Malda,English Bazar
,,Gajol
,,Samsi
,east medinipur,Egra/contai
,,Kolaghat
,,Tamluk (Medinipur E)
,west medinipur,Garbeta(Medinipur)
,,Ghatal
,,Jhargram
,,Medinipur(West)
,Murshidabad,Beldanga
,,Jangipur
,,Jiaganj
,,Kandi
,,Kasimbazar
,,Lalbagh
,Nadia,Bethuadahari
,,Chakdah
,,Kalyani
,,Karimpur
,,Nadia
,,Ranaghat
,north 24 paragans,Barasat
,,Habra
,Puruliya,Balarampur
,,Kasipur
,,Purulia
,,Baruipur(Canning)
,south 24 paragans,Diamond Harbour(South 24-pgs)
,north dinjapur,Islampur
,,Kaliaganj
,,Raiganj
